file,marker,count
idaes/core/scaling/tests/test_scaling_profiler.py,unit,10
idaes/core/scaling/tests/test_util.py,skipif,1
idaes/core/scaling/tests/test_util.py,unit,101
idaes/core/solvers/tests/test_have_pynumero.py,unit,2
idaes/core/solvers/tests/test_homotopy.py,skipif,13
idaes/core/solvers/tests/test_homotopy.py,unit,30
idaes/core/solvers/tests/test_petsc.py,skipif,24
idaes/core/solvers/tests/test_petsc.py,unit,27
idaes/core/solvers/tests/test_petsc_pid.py,integration,1
idaes/core/solvers/tests/test_petsc_pid.py,skipif,1
idaes/core/solvers/tests/test_solver_config.py,skipif,3
idaes/core/solvers/tests/test_solver_config.py,unit,3
idaes/core/solvers/tests/test_solvers.py,parametrize,1
idaes/core/solvers/tests/test_solvers.py,skip,2
idaes/core/solvers/tests/test_solvers.py,skipif,13
idaes/core/solvers/tests/test_solvers.py,unit,25
idaes/core/solvers/tests/test_solvers.py,usefixtures,1
idaes/core/surrogate/base/tests/test_surrogate_base.py,unit,28
idaes/core/surrogate/plotting/tests/test_alamo_plotting.py,unit,8
idaes/core/surrogate/pysmo/tests/test_kriging.py,filterwarnings,4
idaes/core/surrogate/pysmo/tests/test_kriging.py,parametrize,33
idaes/core/surrogate/pysmo/tests/test_kriging.py,unit,33
idaes/core/surrogate/pysmo/tests/test_kriging.py,usefixtures,1
idaes/core/surrogate/pysmo/tests/test_polynomial_regression.py,parametrize,162
idaes/core/surrogate/pysmo/tests/test_polynomial_regression.py,unit,101
idaes/core/surrogate/pysmo/tests/test_polynomial_regression.py,usefixtures,1
idaes/core/surrogate/pysmo/tests/test_radial_basis_function.py,filterwarnings,2
idaes/core/surrogate/pysmo/tests/test_radial_basis_function.py,parametrize,73
idaes/core/surrogate/pysmo/tests/test_radial_basis_function.py,unit,83
idaes/core/surrogate/pysmo/tests/test_radial_basis_function.py,usefixtures,1
idaes/core/surrogate/pysmo/tests/test_sampling.py,integration,3
idaes/core/surrogate/pysmo/tests/test_sampling.py,parametrize,203
idaes/core/surrogate/pysmo/tests/test_sampling.py,unit,266
idaes/core/surrogate/pysmo/tests/test_sampling_modified.py,component,2
idaes/core/surrogate/pysmo/tests/test_sampling_modified.py,unit,167
idaes/core/surrogate/pysmo/tests/test_utils.py,unit,2
idaes/core/surrogate/sampling/tests/test_data_utils.py,unit,2
idaes/core/surrogate/sampling/tests/test_scaling.py,unit,3
idaes/core/surrogate/tests/test_alamopy.py,component,2
idaes/core/surrogate/tests/test_alamopy.py,integration,2
idaes/core/surrogate/tests/test_alamopy.py,skipif,4
idaes/core/surrogate/tests/test_alamopy.py,unit,35
idaes/core/surrogate/tests/test_keras_surrogate.py,skipif,5
idaes/core/surrogate/tests/test_keras_surrogate.py,unit,8
idaes/core/surrogate/tests/test_metrics.py,unit,1
idaes/core/surrogate/tests/test_onnx_surrogate.py,parametrize,1
idaes/core/surrogate/tests/test_onnx_surrogate.py,skipif,2
idaes/core/surrogate/tests/test_onnx_surrogate.py,unit,3
idaes/core/surrogate/tests/test_pysmo_surrogate.py,integration,3
idaes/core/surrogate/tests/test_pysmo_surrogate.py,parametrize,1
idaes/core/surrogate/tests/test_pysmo_surrogate.py,unit,101
idaes/core/surrogate/tests/test_surrogate_block.py,unit,24
idaes/core/util/convergence/tests/test_convergence.py,skipif,2
idaes/core/util/convergence/tests/test_convergence.py,unit,11
idaes/core/util/diagnostics_tools/deprecated/tests/test_degeneracy_hunter_legacy.py,skipif,13
idaes/core/util/diagnostics_tools/deprecated/tests/test_degeneracy_hunter_legacy.py,unit,11
idaes/core/util/diagnostics_tools/tests/test_bounds.py,unit,10
idaes/core/util/diagnostics_tools/tests/test_constraint_term_analysis.py,component,1
idaes/core/util/diagnostics_tools/tests/test_constraint_term_analysis.py,parametrize,4
idaes/core/util/diagnostics_tools/tests/test_constraint_term_analysis.py,skipif,2
idaes/core/util/diagnostics_tools/tests/test_constraint_term_analysis.py,unit,54
idaes/core/util/diagnostics_tools/tests/test_convergence_analysis.py,component,5
idaes/core/util/diagnostics_tools/tests/test_convergence_analysis.py,integration,5
idaes/core/util/diagnostics_tools/tests/test_convergence_analysis.py,solver,7
idaes/core/util/diagnostics_tools/tests/test_convergence_analysis.py,unit,16
