file,line,class,method,owner,message
idaes/core/util/initialization.py,330,,initialize_by_time_element,initialize_by_time_element,NotImplementedError('Initialization does not support collocation with Legendre roots')
idaes/core/util/initialization.py,337,,initialize_by_time_element,initialize_by_time_element,NotImplementedError('Forward initialization (explicit Euler) has not yet been implemented')
idaes/core/util/initialization.py,341,,initialize_by_time_element,initialize_by_time_element,NotImplementedError('Initialization does not support central finite difference')
idaes/core/util/parameter_sweep.py,457,ParameterSweepBase,execute_parameter_sweep,ParameterSweepBase.execute_parameter_sweep,NotImplementedError('Derived classes should overload this method with a workflow manager.')
idaes/core/util/performance.py,98,PerformanceBaseClass,build_model,PerformanceBaseClass.build_model,NotImplementedError('Test class has not implemented a build_model method.')
idaes/core/util/performance.py,113,PerformanceBaseClass,initialize_model,PerformanceBaseClass.initialize_model,NotImplementedError('Test class has not implemented an initialize_model method.')
idaes/core/util/testing.py,366,StateTestBlockData,default_material_balance_type,StateTestBlockData.default_material_balance_type,NotImplementedError
idaes/core/util/testing.py,372,StateTestBlockData,default_energy_balance_type,StateTestBlockData.default_energy_balance_type,NotImplementedError
idaes/models/properties/general_helmholtz/helmholtz_state.py,131,HelmholtzEoSScaler,variable_scaling_routine,HelmholtzEoSScaler.variable_scaling_routine,NotImplementedError(f'Scaling has been not been implemented for the AmountBasis {model.amount_basis}.')
idaes/models/properties/modular_properties/eos/ceos.py,1100,,_N_dZ_dNj,_N_dZ_dNj,NotImplementedError('Block {} called for a property that is not supported by this choice of mixing rules.'.format(blk.name))
idaes/models/properties/modular_properties/eos/ceos.py,1196,,_log_fug_coeff_phase_comp,_log_fug_coeff_phase_comp,NotImplementedError('Block {} called for a property that is not supported by this choice of mixing rules.'.format(blk.name))
idaes/models/properties/modular_properties/eos/ceos.py,1247,,_d_log_fug_coeff_dT_phase_comp,_d_log_fug_coeff_dT_phase_comp,NotImplementedError('Block {} called for a property that is not supported by this choice of mixing rules.'.format(blk.name))
idaes/models/properties/modular_properties/eos/eos_base.py,44,EoSBase,common,EoSBase.common,"NotImplementedError(_msg(b, 'common'))"
